epoch,total_loss,box_loss,object_loss,no_object_loss,class_loss
1,9.249490169768638,0.3960044932492236,2.058191421184134,0.30601195991039276,0.17113418544226505
2,8.972416446564045,0.3900793261350469,2.0561182651113956,0.2854771119482974,0.16073382106867243
3,8.634123279693279,0.37947519440600214,2.0546617203570428,0.2636209402946716,0.14850019552606217
4,8.380104374378286,0.37445800450253997,2.0545018759179623,0.24497386511970073,0.13128386984797233
5,8.203288007289805,0.3743016683357827,2.0530496886435974,0.2282956692766636,0.12426498346030712
6,8.08534203184412,0.37794443743026,2.0536973932956126,0.21323269811716486,0.11987327605961486
7,7.842279606677116,0.36968964924837683,2.051610330317883,0.19860053268518854,0.10776748428953455
1,7.862802799711836,0.37031426708749,2.051963248151414,0.1997192085106322,0.11050475135128549
2,7.728419998858837,0.3702694741969413,2.0516793956147863,0.18704814099250955,0.10356444651459126
1,7.934332177994099,0.3772597144892875,2.0517760540576693,0.19983750011058563,0.11158405458356471
2,7.701755680936448,0.3670176020328035,2.050330654103705,0.18766262192041316,0.10462282257194215
3,7.54289041174219,0.3638985978162035,2.0488783882019366,0.1755090301975291,0.0999357873137961
4,7.439376587563372,0.3641970469913584,2.045977151140254,0.16552168606443607,0.0962121032495448
5,7.295267886303841,0.3613737514044376,2.0444127727062145,0.15494705895160107,0.08764690759175635
6,7.069667932835031,0.3484271695005133,2.0395520418248276,0.14636514240756948,0.08219278433379974
7,7.069843429200192,0.3575329056128542,2.030719479347797,0.13841370001752326,0.07965796306095224
8,6.905174524226087,0.3497346695116226,2.0233592403695937,0.13103098390584297,0.0741587424690419
9,6.800677695172898,0.34766568782481744,2.0120468558149134,0.12398077151242723,0.07216629457283527
10,6.6759307232308895,0.34269001287348727,2.0083933586769915,0.11750300054220443,0.06560720974936131
1,6.676512540654933,0.34923384687367903,2.0017021311090346,0.11180271961270495,0.06444478597729764
2,6.460690407042808,0.3347881471223019,1.9920365150938644,0.10603430994013523,0.06042934030769987
3,6.427883411975617,0.3377024842069504,1.9877749668790938,0.1006247212595128,0.05683637715559056
4,6.213728235123005,0.32297636980706074,1.9811973039140092,0.09515033440386995,0.05126391133253879
5,6.2016151813750575,0.32687422189306703,1.97343639744089,0.09109956517498544,0.04844089262583788
6,6.133444146907076,0.32484116706442323,1.9731880578588932,0.08630610297017909,0.04878333680569492
7,6.0935664988578635,0.3256523946815349,1.9683847110322181,0.0823973428378714,0.04468447158232014
8,6.037907798239526,0.3245742745856021,1.969737192417713,0.0779950923900655,0.04247692130268254
9,5.9471771869253605,0.3201047814589866,1.9610477254745808,0.07441972647892668,0.04088434335240658
10,5.8523135844697345,0.3148928072224272,1.955441414041722,0.0708050121493796,0.03989396446404305
